params,mean_test_score,std_test_score,rank_test_score,Segment,Model,mean_test_RMSE
"{'model__learning_rate': 0.03, 'model__n_estimators': 200, 'model__num_leaves': 63, 'model__subsample': 0.8}",-347.7629007052806,70.3786400519509,21,low_grown,LightGBM,347.7629007052806
"{'model__learning_rate': 0.03, 'model__n_estimators': 200, 'model__num_leaves': 63, 'model__subsample': 1.0}",-347.7629007052806,70.3786400519509,21,low_grown,LightGBM,347.7629007052806
"{'model__learning_rate': 0.03, 'model__n_estimators': 400, 'model__num_leaves': 31, 'model__subsample': 0.8}",-332.2879651745885,65.78021507815089,15,low_grown,LightGBM,332.2879651745885
"{'model__learning_rate': 0.03, 'model__n_estimators': 400, 'model__num_leaves': 31, 'model__subsample': 1.0}",-332.2879651745885,65.78021507815089,15,low_grown,LightGBM,332.2879651745885
"{'model__learning_rate': 0.03, 'model__n_estimators': 400, 'model__num_leaves': 63, 'model__subsample': 0.8}",-332.21028843567916,65.8519038208398,13,low_grown,LightGBM,332.21028843567916
"{'model__learning_rate': 0.03, 'model__n_estimators': 400, 'model__num_leaves': 63, 'model__subsample': 1.0}",-332.21028843567916,65.8519038208398,13,low_grown,LightGBM,332.21028843567916
"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'model__num_leaves': 31, 'model__subsample': 0.8}",-334.9141852575633,65.75601884841086,19,low_grown,LightGBM,334.9141852575633
"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'model__num_leaves': 31, 'model__subsample': 1.0}",-334.9141852575633,65.75601884841086,19,low_grown,LightGBM,334.9141852575633
"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'model__num_leaves': 63, 'model__subsample': 0.8}",-334.79750275706425,65.74946587419012,17,low_grown,LightGBM,334.79750275706425
"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'model__num_leaves': 63, 'model__subsample': 1.0}",-334.79750275706425,65.74946587419012,17,low_grown,LightGBM,334.79750275706425
